Neighbourhood,Latitude,Longitude
Mahal,21.14578,79.10713
Sitabuldi,21.14609,79.08612
Dhantoli,21.13322,79.07947
Itwari,21.1539,79.11073
Mominpura,21.15709,79.09764
Dharampeth,21.14068,79.06252
Ramdaspeth,21.18674,79.12391
Shraddhanand Peth,21.12485,79.06161
Sadar,21.16293,79.07392
Civil Lines,21.14891,79.07751
Gandhibagh,21.15218,79.10398
Nandanvan,21.13451,79.12104
Kalamna,21.16242663,79.14121434
Wardhaman Nagar,21.14856,79.13398
Seminary Hills,21.16182,79.05723
Police Line Takli,21.1719,79.06486
Mankapur,21.18507,79.0777
Pachpaoli,21.16632,79.10372
Vayusena Nagar,21.15917,79.04289
Ravi Nagar,21.1514,79.05572
Byramji Town,21.1830723,79.09087608
Chaoni,21.17054,79.07912
Mangalwari,21.16541,79.08116
Gaddigodam,21.16121,79.08676
Gitti Khadan,21.17571,79.05611
Pratap Nagar,21.11317,79.05123
Ajni,21.1209,79.08535
Pardi,21.15977,79.16205
Indora,21.17227,79.06481
Maskasath,21.15554,79.1102
Jaripatka,21.18947,79.09444
Ashok Nagar,21.0742,79.08449
Gokulpeth,21.14512,79.05864
Giripeth,21.1442,79.06432
Bajaj Nagar,21.12834,79.06287
Rajendra Nagar,21.11617,79.01896
Lakadganj,21.15494,79.11862
Gandhinagar,21.13488,79.05606
Manish Nagar,21.08898,79.08218
Bezanbagh,21.17288,79.09118
Bhandewadi,21.14655,79.15795
Rahate Colony,21.1306,79.07533
